,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
0,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
1,기아 K5::디럭스,"4,855","1,860","1,465","2,805"
2,기아 K5::럭셔리,"4,855","1,860","1,465","2,805"
3,기아 K5::프레스티지,"4,855","1,860","1,465","2,805"
4,기아 K5::노블레스,"4,855","1,860","1,465","2,805"
5,기아 K5::노블레스 스페셜,"4,855","1,860","1,465","2,805"
1,인피니티 QX60::3.5 AWD,"4,990","1,960","1,745","2,900"
2,인피니티 QX60::2.5 Hybrid,"4,990","1,960","1,745","2,900"
1,벤츠 Maybach::S500 Long,"5,453","1,899","1,500","3,365"
2,벤츠 Maybach::S600 Long,"5,453","1,899","1,500","3,365"
1,랜드로버 Range Rover::3.0 TDV6 Vogue SE,"4,999","2,073","1,835","2,922"
2,랜드로버 Range Rover::3.0 TDV6 Vogue SE HEV,"4,999","2,073","1,835","2,922"
3,랜드로버 Range Rover::4.4 SDV8 Vogue SE,"4,999","2,073","1,835","2,922"
4,랜드로버 Range Rover::4.4 SDV8 Vogue SE LWB,"5,199","1,983","1,840","3,120"
5,랜드로버 Range Rover::4.4 SDV8 Autobio-graphy,"4,999","2,073","1,835","2,922"
6,랜드로버 Range Rover::4.4 SDV8 Autobio-graphy LWB,"4,999","2,073","1,835","2,922"
7,랜드로버 Range Rover::5.0 V8 SC Vogue SE,"4,999","2,073","1,835","2,922"
8,랜드로버 Range Rover::5.0 V8 SC Autobio-graphy,"4,999","2,073","1,835","2,922"
9,랜드로버 Range Rover::5.0 V8 SC Vogue SE LWB,"5,199","1,983","1,840","3,120"
10,랜드로버 Range Rover::5.0 V8 SC Autobio-graphy LWB,"5,199","1,983","1,840","3,120"
11,랜드로버 Range Rover::5.0 V8 SC Autobio-graphy LWB Black,"5,199","1,983","1,840","3,120"
1,랜드로버 Ranger Rover Sport::3.0 SDV6 HSE,"4,850","1,985","1,780","2,925"
2,랜드로버 Ranger Rover Sport::3.0 SDV6 HSE DYNAMIC,"4,850","1,985","1,780","2,925"
3,랜드로버 Ranger Rover Sport::3.0 SDV6 HSE DYNAMIC HEV,"4,850","1,985","1,780","2,925"
4,랜드로버 Ranger Rover Sport::3.0 SDV6 AB DYNAMIC,"4,850","1,985","1,780","2,925"
5,랜드로버 Ranger Rover Sport::3.0 SC HSE DYNAMIC,"4,850","1,985","1,780","2,925"
6,랜드로버 Ranger Rover Sport::4.4 SDV8 HSE DYNAMIC,"4,850","1,985","1,780","2,925"
7,랜드로버 Ranger Rover Sport::4.4 SDV8 AB DYNAMIC,"4,850","1,985","1,780","2,925"
1,기아 카니발::VIP,"5,115","1,985","1,755","3,060"
2,기아 카니발::프레지던트,"5,115","1,985","1,755","3,060"
1,기아 카니발::프레지던트,"5,115","1,985","1,755","3,060"
1,기아 카니발::럭셔리,"5,115","1,985","1,755","3,060"
2,기아 카니발::프레스티지,"5,115","1,985","1,755","3,060"
3,기아 카니발::노블레스,"5,115","1,985","1,755","3,060"
1,기아 카니발::디럭스,"5,115","1,985","1,740","3,060"
2,기아 카니발::럭셔리,"5,115","1,985","1,755","3,060"
3,기아 카니발::프레스티지,"5,115","1,985","1,755","3,060"
4,기아 카니발::노블레스,"5,115","1,985","1,755","3,060"
